City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Iqaluit,CA,63.7506,-68.5145,-27.31,74,40,0.0,scattered clouds
164,Bathsheba,BB,13.2167,-59.5167,75.81,73,75,12.66,broken clouds
165,Clyde River,CA,70.4692,-68.5914,-12.77,77,100,31.07,light snow
166,Constitucion,CL,-35.3333,-72.4167,58.12,86,4,2.93,clear sky
167,Palmas,BR,-10.2128,-48.3603,75.07,88,75,0.0,moderate rain
168,Rawson,AR,-43.3002,-65.1023,64.47,86,100,8.52,overcast clouds
169,Pecos,US,31.4229,-103.4932,56.3,25,0,5.75,clear sky
170,Kasongo-Lunda,CD,-6.4667,16.8167,68.61,92,82,1.52,broken clouds
171,Lagos,NG,6.5833,3.75,80.92,94,0,2.48,clear sky
172,Tevaitoa,PF,-16.7833,-151.5,81.09,78,100,15.08,light rain
173,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,75,10.36,broken clouds
174,Lebu,CL,-37.6167,-73.65,59.76,86,42,20.69,scattered clouds
175,Obo,CF,5.3998,26.4869,69.49,30,28,2.93,scattered clouds
176,Kavieng,PG,-2.5744,150.7967,83.21,75,32,6.98,moderate rain
177,Grindavik,IS,63.8424,-22.4338,18.07,79,0,4.61,clear sky
178,Sitka,US,57.0531,-135.33,42.69,87,100,19.57,light rain
179,Impfondo,CG,1.6381,18.0667,69.37,40,82,3.18,broken clouds
180,Biak,ID,-0.9131,122.8766,80.58,79,100,1.34,overcast clouds
181,Nome,US,64.5011,-165.4064,-12.93,70,0,5.75,clear sky
182,Shakiso,ET,5.75,38.9167,55.42,55,46,3.65,scattered clouds
183,Bereznik,RU,62.8551,42.7072,23.94,95,100,7.2,light snow
184,Nikolskoye,RU,59.7035,30.7861,35.71,93,100,11.25,overcast clouds
185,Naze,JP,28.3667,129.4833,59.92,75,92,15.9,overcast clouds
186,Prince Rupert,CA,54.3161,-130.3201,46.49,93,100,24.16,overcast clouds
187,Balikpapan,ID,-1.2675,116.8289,81.59,89,40,5.75,scattered clouds
188,Champerico,GT,14.3,-91.9167,79.36,73,43,5.41,scattered clouds
189,San Patricio,US,28.017,-97.5169,58.84,59,15,8.72,few clouds
190,Lavrentiya,RU,65.5833,-171.0,-25.51,94,34,8.05,scattered clouds
191,Husavik,IS,66.0449,-17.3389,4.91,78,79,7.81,broken clouds
192,San Carlos,VE,9.6612,-68.5827,76.33,71,92,3.94,overcast clouds
193,Waipawa,NZ,-41.4122,175.5153,71.46,63,99,8.08,light rain
194,Grants Pass,US,42.439,-123.3284,57.88,69,0,13.8,clear sky
195,Rorvik,NO,64.8621,11.2373,40.87,70,82,35.37,light rain
196,Mersing,MY,2.4312,103.8405,75.11,94,40,5.75,moderate rain
197,Arraial Do Cabo,BR,-22.9661,-42.0278,69.12,94,95,9.22,overcast clouds
198,Sao Filipe,CV,14.8961,-24.4956,77.05,54,99,6.15,overcast clouds
199,Chirongui,YT,-12.9319,45.1483,76.93,81,100,10.29,moderate rain
200,Portknockie,GB,57.7025,-2.8599,37.38,70,45,21.0,scattered clouds
201,Tiksi,RU,71.6872,128.8694,-12.62,93,99,13.82,overcast clouds
202,Chuy,UY,-33.6971,-53.4616,64.92,78,0,8.12,clear sky
203,Kaseda,JP,31.4167,130.3167,51.03,67,100,10.56,overcast clouds
204,Inuvik,CA,68.3499,-133.7218,-19.34,76,75,6.91,light snow
205,Ilulissat,GL,69.2167,-51.1,6.82,78,40,23.02,light shower snow
206,Laguna,US,38.421,-121.4238,64.22,69,0,6.91,clear sky
207,Lakatoro,VU,-16.0999,167.4164,82.15,81,100,22.91,overcast clouds
208,Grand-Santi,GF,4.25,-54.3833,72.88,97,99,2.44,overcast clouds
209,Olafsvik,IS,64.8945,-23.7142,28.15,60,38,11.97,scattered clouds
210,Zhigansk,RU,66.7697,123.3711,-30.42,97,85,8.77,overcast clouds
211,Bethel,US,41.3712,-73.414,34.7,82,0,3.44,clear sky
212,Alofi,NU,-19.0595,-169.9187,85.89,70,40,5.75,scattered clouds
213,Bartica,GY,6.4,-58.6167,73.72,99,55,2.21,broken clouds
214,Okhotsk,RU,59.3833,143.3,12.7,75,100,10.18,overcast clouds
215,Charters Towers,AU,-20.1,146.2667,90.72,36,8,5.53,clear sky
216,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,19,0,21.85,clear sky
