City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,Cabo San Lucas,MX,70.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
90,Umiray,PH,80.69,scattered clouds,15.2206,121.4111,The Chairmans Residence
93,Bambous Virieux,MU,79.21,few clouds,-20.3428,57.7575,Casa Tia Villa
96,Morant Bay,JM,78.42,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
99,Ketou,BJ,75.52,scattered clouds,7.3633,2.5998,Residences Celine Hotel Ketou
101,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
102,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
103,Chone,EC,73.09,overcast clouds,-0.6833,-80.1,Ciudadela Gonzalez
117,Pochutla,MX,76.05,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
122,Quatre Cocos,MU,79.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
123,Atuona,PF,78.58,few clouds,-9.8,-139.0333,Villa Enata
125,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
134,Hobart,AU,74.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
139,Shwebo,MM,71.33,clear sky,22.5667,95.7,MOON SHINE Guest House
143,Port Macquarie,AU,88.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
145,Caravelas,BR,75.92,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
147,Sisophon,KH,87.15,overcast clouds,13.5859,102.9737,Pyramid Hotel
149,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
155,Rantepao,ID,73.08,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
160,Vung Tau,VN,82.99,broken clouds,10.346,107.0843,Green hotel
161,Butaritari,KI,81.59,light rain,3.0707,172.7902,Isles Sunset Lodge
164,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
167,Palmas,BR,75.07,moderate rain,-10.2128,-48.3603,Hotel Lago da Palma
172,Tevaitoa,PF,81.09,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
176,Kavieng,PG,83.21,moderate rain,-2.5744,150.7967,Nusa Island Retreat
180,Biak,ID,80.58,overcast clouds,-0.9131,122.8766,Penginapan Kim
187,Balikpapan,ID,81.59,scattered clouds,-1.2675,116.8289,ibis Balikpapan
188,Champerico,GT,79.36,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
192,San Carlos,VE,76.33,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
193,Waipawa,NZ,71.46,light rain,-41.4122,175.5153,Tora Coastal Walk
196,Mersing,MY,75.11,moderate rain,2.4312,103.8405,Timotel Hotel
198,Sao Filipe,CV,77.05,overcast clouds,14.8961,-24.4956,Hotel Xaguate
199,Chirongui,YT,76.93,moderate rain,-12.9319,45.1483,La Villa Mahatsara
207,Lakatoro,VU,82.15,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
208,Grand-Santi,GF,72.88,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
212,Alofi,NU,85.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
213,Bartica,GY,73.72,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
217,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
221,Cukai,MY,80.74,moderate rain,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
223,Waingapu,ID,83.79,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
226,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
229,Karratha,AU,89.24,clear sky,-20.7377,116.8463,ibis Styles Karratha
230,Young,UY,70.23,clear sky,-32.6833,-57.6333,Posada Gira el Sol
231,Esperance,AU,84.04,clear sky,-33.8667,121.9,Hospitality Esperance
236,Qui Nhon,VN,78.15,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
238,Praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
242,Phan Thiet,VN,87.46,scattered clouds,10.9333,108.1,Hotel Saigon-PT
248,Ngunguru,NZ,78.17,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
249,General Roca,AR,79.2,few clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
250,Niquero,CU,74.8,clear sky,20.0431,-77.5828,Islazul Niquero
251,Santa Ana,US,78.73,clear sky,33.7456,-117.8678,Santa Ana Travel Inn
258,Labuhan,ID,82.99,light rain,-6.8844,112.2051,DoubleFAG
259,Pisco,PE,72.01,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
264,Songkhla,TH,82.45,overcast clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
265,San Matias,BO,71.87,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
267,Hithadhoo,MV,81.88,scattered clouds,-0.6,73.0833,Scoop Guest House
270,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
274,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
277,Paranaiba,BR,71.85,overcast clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
281,Cockburn Town,TC,77.88,clear sky,21.4612,-71.1419,Osprey Beach Hotel
283,Byron Bay,AU,86.11,clear sky,-28.65,153.6167,Backpackers Inn
284,Ruteng,ID,72.54,overcast clouds,-8.6136,120.4721,Hotel FX 72
285,Sibolga,ID,75.42,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
288,Bandarbeyla,SO,72.28,overcast clouds,9.4942,50.8122,JABIR HOTEL
292,Hobyo,SO,75.78,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
294,Urucara,BR,73.69,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
295,Huarmey,PE,71.38,overcast clouds,-10.0681,-78.1522,Hotel Miramar
296,Tual,ID,79.11,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
297,Mandera,KE,72.79,few clouds,3.9366,41.867,Mwalimu Guest mandera
302,Luganville,VU,85.24,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
305,Wukari,NG,71.49,broken clouds,7.85,9.7833,Elimtop
309,Aquin,HT,75.11,clear sky,18.2833,-73.4,Asheev Beach
314,Bengkulu,ID,79.79,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
317,Port Lincoln,AU,70.83,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
318,Mariakani,KE,70.93,overcast clouds,-3.8633,39.4736,The County Luxury Comfort Hotels Ltd
319,Broken Hill,AU,82.11,clear sky,-31.95,141.4333,Royal Exchange Hotel
322,Mount Gambier,AU,71.51,overcast clouds,-37.8333,140.7667,The Commodore
323,Lakes Entrance,AU,70.16,moderate rain,-37.8811,147.981,The Esplanade Resort & Spa
324,Port-Gentil,GA,81.09,overcast clouds,-0.7193,8.7815,Fengshui Residence
326,Port Blair,IN,82.44,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
327,Maunabo,PR,75.7,scattered clouds,18.0072,-65.8993,Maunacaribe
332,Zemio,CF,70.9,overcast clouds,5.0314,25.1361,OCHA Office
335,Ballina,AU,86.18,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
337,Lima,PE,71.91,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
346,Sao Miguel Do Araguaia,BR,71.87,light rain,-13.275,-50.1628,Hotel Executivo Palace
348,Wad Madani,SD,70.43,clear sky,14.4012,33.5199,فندق يوغسلافيا
351,Puerto Leguizamo,CO,70.63,overcast clouds,-0.1934,-74.7819,la casona de juancho
354,Coro,VE,74.73,overcast clouds,11.4045,-69.6734,Federal
357,Auki,SB,82.15,moderate rain,-8.7676,160.7034,Auki Motel
362,Ambilobe,MG,74.07,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
368,Marsh Harbour,BS,72.14,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
371,Dagua,CO,70.3,overcast clouds,3.6569,-76.6886,Hostal Río Dagua
372,Burnie,AU,73.94,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
374,Meulaboh,ID,75.67,light rain,4.1363,96.1285,Kost Pria
379,Manadhoo,MV,80.35,scattered clouds,5.7667,73.3833,Bon Abri maldives
383,Vao,NC,80.78,light rain,-22.6667,167.4833,Hotel Kou-Bugny
384,Banki,IN,73.51,few clouds,20.3833,85.5333,Excise office banki
386,Kailua,US,78.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
390,Gaoual,GN,72.21,broken clouds,11.75,-13.2,Hotel koliba
394,Maxixe,MZ,71.42,few clouds,-23.8597,35.3472,Oceano
404,Viedma,AR,77.13,overcast clouds,-40.8135,-62.9967,Hotel Cristal
416,Ranong,TH,84.13,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
421,Porto Belo,BR,76.95,broken clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
429,Faanui,PF,81.36,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
430,Gondanglegi,ID,77.81,moderate rain,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
436,Isangel,VU,80.71,heavy intensity rain,-19.55,169.2667,Tanna Lodge
437,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
442,Ternate,ID,84.49,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
443,Puerto Madero,MX,71.8,few clouds,14.7208,-92.4215,Hospedaje madero
445,Kati,ML,76.41,clear sky,12.7441,-8.0726,Lingot d’or
450,Sambava,MG,75.51,overcast clouds,-14.2667,50.1667,Melrose
453,Bonthe,SL,75.92,clear sky,7.5264,-12.505,Bonthe Holiday Village
455,Coronado,US,73.76,few clouds,32.6859,-117.1831,El Cordova Hotel
459,El Tocuyo,VE,70.7,broken clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
461,Khorixas,,70.59,overcast clouds,-20.3667,14.9667,Khorixas Lodge
464,Los Llanos De Aridane,ES,71.13,clear sky,28.6585,-17.9182,Valle Aridane
472,Kuching,MY,84.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
475,Tarauaca,BR,71.64,overcast clouds,-8.1614,-70.7656,Flat Temporada
479,Honiara,SB,85.46,moderate rain,-9.4333,159.95,Heritage Park Hotel
480,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
483,Iquitos,PE,73.44,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
485,San Rafael Del Sur,NI,79.77,clear sky,11.8485,-86.4384,Hospedaje El Chino
487,Loikaw,MM,73.85,clear sky,19.6742,97.2094,Myat Nan Taw Hotel
492,Sinnamary,GF,75.88,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
494,Tamandare,BR,79.74,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
500,Te Anau,NZ,74.35,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
501,Lafiagi,NG,76.66,clear sky,8.8667,5.4167,Bus group international
505,Chincha Alta,PE,70.75,overcast clouds,-13.4099,-76.1323,Buena Vista Casa Hotel
506,Humberto De Campos,BR,74.39,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
507,Santa Cruz,BO,71.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
516,Pathein,MM,77.74,clear sky,16.7833,94.7333,New Pammawaddy Hotel
519,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
521,Muisne,EC,76.26,overcast clouds,0.6,-80.0333,Quinta Samay
525,Bima,ID,80.31,overcast clouds,-8.4667,118.7167,Lambitu Hotel
528,Sri Aman,MY,82.45,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
529,Bathurst,AU,82.27,scattered clouds,-33.4166,149.5806,Bathurst Motor Inn
533,Adelaide,AU,79.41,few clouds,-34.9333,138.6,The Chancellor on Currie
537,Garissa,KE,72.99,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
540,Pamanukan,ID,78.3,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
541,Inirida,CO,72.59,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
548,Majene,ID,77.32,light rain,-3.5403,118.9707,Kost Putri RABBANI
