City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Zihuatanejo,MX,2022-02-08 05:37:49,17.6333,-101.55,73.99,74,5,4.97
118,Manggar,ID,2022-02-08 05:28:07,-2.8833,108.2667,80.6,78,100,10.54
119,Leiyang,CN,2022-02-08 05:37:50,26.4024,112.8591,37.56,90,100,6.13
120,Miri,MY,2022-02-08 05:33:47,4.4148,114.0089,82.54,83,40,8.05
121,Laguna,US,2022-02-08 05:37:41,38.421,-121.4238,57.96,82,0,0.0
122,Peleduy,RU,2022-02-08 05:37:50,59.6289,112.7406,1.27,89,100,8.72
123,Comodoro Rivadavia,AR,2022-02-08 05:37:50,-45.8667,-67.5,78.66,24,0,18.41
124,Hermanus,ZA,2022-02-08 05:26:38,-34.4187,19.2345,66.79,87,1,3.18
125,Broome,US,2022-02-08 05:37:51,42.2506,-75.833,32.77,77,100,1.99
126,Qaanaaq,GL,2022-02-08 05:29:01,77.484,-69.3632,-11.54,68,100,4.7
127,Berlevag,NO,2022-02-08 05:37:51,70.8578,29.0864,24.8,85,70,17.58
128,Chokurdakh,RU,2022-02-08 05:33:48,70.6333,147.9167,-44.68,100,93,4.72
129,Chuy,UY,2022-02-08 05:37:51,-33.6971,-53.4616,61.02,80,18,6.73
130,Longyearbyen,SJ,2022-02-08 05:31:20,78.2186,15.6401,21.04,79,75,19.57
131,Orotukan,RU,2022-02-08 05:37:52,62.2667,151.7,-21.64,85,99,1.92
132,San Andres,CO,2022-02-08 05:34:12,12.5847,-81.7006,78.82,73,20,6.91
133,Sibolga,ID,2022-02-08 05:37:52,1.7427,98.7792,86.22,60,72,5.37
134,Atherton,GB,2022-02-08 05:37:52,53.5237,-2.4935,53.15,83,59,7.0
135,Manzhouli,CN,2022-02-08 05:37:53,49.6,117.4333,11.5,85,100,6.42
136,Almaznyy,RU,2022-02-08 05:37:53,48.0448,40.045,35.74,95,100,13.13
137,Kruisfontein,ZA,2022-02-08 05:37:53,-34.0033,24.7314,75.25,42,1,2.15
138,Narsaq,GL,2022-02-08 05:32:41,60.9167,-46.05,-8.3,74,78,9.86
139,Vila Franca Do Campo,PT,2022-02-08 05:30:11,37.7167,-25.4333,59.2,75,100,6.96
140,Nelson Bay,AU,2022-02-08 05:32:35,-32.7167,152.15,76.1,68,33,1.99
141,Payo,ID,2022-02-08 05:38:54,-3.7508,103.6372,90.18,52,80,4.52
142,Egvekinot,RU,2022-02-08 05:38:54,66.3167,-179.1667,-18.72,69,0,13.15
143,Whitehorse,CA,2022-02-08 05:38:54,60.7161,-135.0538,29.17,69,100,13.8
144,Manokwari,ID,2022-02-08 05:38:55,-0.8667,134.0833,82.35,74,53,5.14
145,Kota Belud,MY,2022-02-08 05:38:55,6.351,116.4305,89.46,54,81,3.33
146,Yellowknife,CA,2022-02-08 05:26:24,62.456,-114.3525,-6.59,92,75,16.11
147,Fort Saint James,CA,2022-02-08 05:38:55,54.4333,-124.25,33.15,78,89,10.16
148,Mayo,US,2022-02-08 05:38:56,38.8876,-76.5119,39.15,94,100,6.91
149,Faanui,PF,2022-02-08 05:30:04,-16.4833,-151.75,81.36,78,100,20.38
150,Evensk,RU,2022-02-08 05:33:49,61.95,159.2333,-0.65,68,19,9.53
151,Adrar,MR,2022-02-08 05:38:56,20.5022,-10.0711,62.58,12,85,9.98
152,Jinji,CN,2022-02-08 05:38:56,23.2281,110.8261,49.57,87,100,8.16
153,Severo-Kurilsk,RU,2022-02-08 05:32:34,50.6789,156.125,31.6,87,67,12.8
154,Nouadhibou,MR,2022-02-08 05:38:57,20.931,-17.0347,58.98,100,75,8.05
155,Santa Rosalia,MX,2022-02-08 05:38:57,27.3167,-112.2833,60.49,36,0,8.95
156,Gladstone,AU,2022-02-08 05:34:20,-23.85,151.25,80.53,50,100,10.36
157,Manoel Urbano,BR,2022-02-08 05:31:23,-8.8389,-69.2597,71.42,100,100,2.42
158,Port Elizabeth,ZA,2022-02-08 05:38:57,-33.918,25.5701,62.89,100,20,4.61
159,Doha,QA,2022-02-08 05:38:58,25.2867,51.5333,64.38,59,0,12.66
160,Mount Isa,AU,2022-02-08 05:38:58,-20.7333,139.5,91.17,38,40,9.22
161,Cuiluan,CN,2022-02-08 05:38:58,47.72,128.648,19.11,73,100,6.87
162,Burdur,TR,2022-02-08 05:38:59,37.7203,30.2908,46.92,71,75,18.41
163,Castro,BR,2022-02-08 05:31:24,-24.7911,-50.0119,61.32,96,40,5.95
164,Polyarnyy,RU,2022-02-08 05:38:59,69.1989,33.4478,23.47,94,48,14.56
165,Sorkjosen,NO,2022-02-08 05:38:59,69.8,20.9333,26.6,68,0,17.27
166,Vityazevo,RU,2022-02-08 05:39:00,44.9931,37.2719,48.61,66,0,22.37
167,Wittmund,DE,2022-02-08 05:39:00,53.5667,7.7833,47.07,92,75,14.97
168,Flinders,AU,2022-02-08 05:39:00,-34.5833,150.8552,77.81,64,40,6.89
169,Lucea,JM,2022-02-08 05:39:01,18.451,-78.1736,75.06,78,8,1.83
170,San Vicente,AR,2022-02-08 05:39:01,-26.6167,-54.1333,53.56,58,0,2.75
171,Marsh Harbour,BS,2022-02-08 05:35:30,26.5412,-77.0636,73.47,65,1,6.42
172,Sechura,PE,2022-02-08 05:39:01,-5.5569,-80.8222,72.19,75,100,8.34
173,Banjarmasin,ID,2022-02-08 05:39:02,-3.3244,114.591,87.94,80,96,1.01
174,Tasiilaq,GL,2022-02-08 05:31:28,65.6145,-37.6368,23.16,73,100,7.43
175,Mahebourg,MU,2022-02-08 05:28:00,-20.4081,57.7,82.69,78,75,12.66
176,Saskylakh,RU,2022-02-08 05:30:12,71.9167,114.0833,-6.39,88,98,10.89
177,Kapaa,US,2022-02-08 05:39:02,22.0752,-159.319,74.12,77,75,16.11
178,Onega,RU,2022-02-08 05:39:02,63.9061,38.1404,7.86,96,91,8.75
179,Jiayuguan,CN,2022-02-08 05:39:03,39.8167,98.3,25.52,42,20,2.33
180,Kokkola,FI,2022-02-08 05:39:03,63.8385,23.1307,23.16,93,100,9.22
181,Bathsheba,BB,2022-02-08 05:30:10,13.2167,-59.5167,77.61,73,40,13.8
182,Pevek,RU,2022-02-08 05:33:51,69.7008,170.3133,-28.23,98,28,2.13
183,Tavares,US,2022-02-08 05:36:50,28.8042,-81.7256,55.54,88,100,9.22
184,Athabasca,CA,2022-02-08 05:40:04,54.7169,-113.2854,42.62,75,72,17.11
185,Lagoa,PT,2022-02-08 05:30:13,39.05,-27.9833,58.93,67,86,6.67
186,Leningradskiy,RU,2022-02-08 05:40:04,69.3833,178.4167,-28.53,91,4,5.01
187,Kirakira,SB,2022-02-08 05:40:04,-10.4544,161.9205,80.22,84,100,12.53
188,San Ignacio,BZ,2022-02-08 05:40:05,17.1561,-89.0714,71.74,94,100,6.91
189,Villazon,BO,2022-02-08 05:40:05,-22.0866,-65.5942,44.65,86,86,3.24
190,Mar Del Plata,AR,2022-02-08 05:40:05,-38.0023,-57.5575,62.87,80,75,4.61
191,Hasaki,JP,2022-02-08 05:33:45,35.7333,140.8333,46.69,87,100,14.2
192,Lorengau,PG,2022-02-08 05:40:06,-2.0226,147.2712,83.95,75,56,9.08
193,Auki,SB,2022-02-08 05:40:06,-8.7676,160.7034,79.5,88,100,10.22
194,Ivanteyevka,RU,2022-02-08 05:40:06,55.9711,37.9208,33.46,97,100,6.17
195,Tabou,CI,2022-02-08 05:40:06,4.423,-7.3528,77.68,88,88,7.25
196,Waipawa,NZ,2022-02-08 05:40:07,-41.4122,175.5153,65.3,94,100,5.41
197,Faya,SA,2022-02-08 05:40:07,18.3851,42.4509,53.71,57,9,4.36
198,Cassilandia,BR,2022-02-08 05:40:07,-19.1133,-51.7342,68.99,92,86,2.98
199,Bilma,NE,2022-02-08 05:39:08,18.6853,12.9164,57.7,16,0,7.76
200,Otavi,NA,2022-02-08 05:40:08,-19.65,17.3333,67.98,62,2,6.67
201,Baley,RU,2022-02-08 05:40:08,51.6,116.6333,14.49,90,100,3.15
202,Upernavik,GL,2022-02-08 05:33:52,72.7868,-56.1549,-14.96,94,100,13.67
203,Lerwick,GB,2022-02-08 05:40:08,60.1545,-1.1494,41.0,69,95,30.49
204,Plettenberg Bay,ZA,2022-02-08 05:40:09,-34.0527,23.3716,71.6,55,0,1.66
205,Wanaka,NZ,2022-02-08 05:40:09,-44.7,169.15,75.09,41,1,1.57
206,Norman Wells,CA,2022-02-08 05:40:09,65.282,-126.8329,-23.76,62,100,12.66
207,Bukama,CD,2022-02-08 05:40:09,-9.2,25.85,70.68,96,99,1.48
208,Pundaguitan,PH,2022-02-08 05:40:10,6.3711,126.1689,80.8,81,65,14.7
209,Dunedin,NZ,2022-02-08 05:31:31,-45.8742,170.5036,62.8,67,1,5.01
210,Marakkanam,IN,2022-02-08 05:40:10,12.2,79.95,80.47,59,98,8.97
211,Sambava,MG,2022-02-08 05:40:11,-14.2667,50.1667,83.41,65,56,2.86
212,Troitsko-Pechorsk,RU,2022-02-08 05:40:11,62.7084,56.1964,-4.23,94,93,4.0
213,Guanica,PR,2022-02-08 05:40:11,17.9716,-66.908,75.2,85,18,5.01
214,Springbok,ZA,2022-02-08 05:40:12,-29.6643,17.8865,80.2,27,16,3.13
215,Tiksi,RU,2022-02-08 05:40:12,71.6872,128.8694,-25.17,99,47,5.57
216,Olafsvik,IS,2022-02-08 05:40:12,64.8945,-23.7142,32.09,88,100,34.83
217,Karratha,AU,2022-02-08 05:40:12,-20.7377,116.8463,88.88,61,78,8.34
218,Luderitz,NA,2022-02-08 05:32:41,-26.6481,15.1594,72.25,69,20,4.14
219,Cidreira,BR,2022-02-08 05:32:42,-30.1811,-50.2056,65.68,81,1,7.7
220,Ust-Maya,RU,2022-02-08 05:40:13,60.4167,134.5333,-8.97,89,100,1.01
221,Torbay,CA,2022-02-08 05:32:40,47.6666,-52.7314,25.57,87,75,12.66
222,Melbourne,US,2022-02-08 05:36:05,28.0836,-80.6081,61.02,88,20,10.36
223,Burleson,US,2022-02-08 05:40:13,32.5421,-97.3208,45.9,53,0,1.01
224,Constitucion,CL,2022-02-08 05:35:56,-35.3333,-72.4167,58.86,80,17,5.01
225,Linxia,CN,2022-02-08 05:40:14,35.6003,103.2064,23.29,67,100,2.71
226,Verin,ES,2022-02-08 05:40:14,41.9415,-7.4381,44.24,80,5,2.01
227,Vestmannaeyjar,IS,2022-02-08 05:33:53,63.4427,-20.2734,29.98,66,100,46.01
228,Itarema,BR,2022-02-08 05:41:14,-2.9248,-39.9167,76.64,86,8,6.62
229,Aborlan,PH,2022-02-08 05:41:15,9.4352,118.5492,84.67,67,99,9.35
230,Klyuchi,RU,2022-02-08 05:41:15,52.2667,79.1667,20.43,91,97,9.62
231,Kahului,US,2022-02-08 05:41:15,20.8947,-156.47,73.85,79,75,19.57
232,Mao,ES,2022-02-08 05:41:16,39.8885,4.2658,48.76,66,0,17.27
233,Hornepayne,CA,2022-02-08 05:41:16,49.2138,-84.7705,-2.51,100,100,3.91
234,Vila Velha,BR,2022-02-08 05:41:16,-20.3297,-40.2925,78.75,89,40,8.05
235,Neuquen,AR,2022-02-08 05:41:16,-38.9516,-68.0591,73.29,35,0,3.44
236,Sao Joao Da Barra,BR,2022-02-08 05:36:30,-21.6403,-41.0511,75.42,90,100,6.76
237,Pisco,PE,2022-02-08 05:41:17,-13.7,-76.2167,67.01,88,0,3.44
238,Basco,PH,2022-02-08 05:41:17,20.4487,121.9702,73.09,84,60,28.19
239,Vostok,RU,2022-02-08 05:41:17,46.4856,135.8833,10.6,85,100,8.12
240,Viedma,AR,2022-02-08 05:40:25,-40.8135,-62.9967,65.71,64,0,15.7
241,Port Moresby,PG,2022-02-08 05:41:18,-9.4431,147.1797,89.02,62,40,7.49
242,Pacific Grove,US,2022-02-08 05:41:18,36.6177,-121.9166,54.16,88,0,1.99
243,Palu,ID,2022-02-08 05:41:18,-0.8917,119.8707,86.05,71,95,4.03
244,Awbari,LY,2022-02-08 05:41:19,26.5921,12.7805,51.06,22,86,3.76
245,Gonbad-E Qabus,IR,2022-02-08 05:41:19,37.25,55.1672,45.55,65,0,4.61
246,Isangel,VU,2022-02-08 05:41:19,-19.55,169.2667,78.91,89,100,24.7
247,Lovrenc Na Pohorju,SI,2022-02-08 05:41:20,46.5406,15.3931,36.19,68,3,4.25
248,Ahuimanu,US,2022-02-08 05:41:20,21.4447,-157.8378,74.91,74,20,13.8
249,Los Llanos De Aridane,ES,2022-02-08 05:41:20,28.6585,-17.9182,58.75,67,0,11.5
250,Singleton,AU,2022-02-08 05:41:20,-32.5667,151.1833,73.78,49,50,7.99
251,Kiruna,SE,2022-02-08 05:41:21,67.8557,20.2251,14.92,92,75,6.91
252,Sarankhola,BD,2022-02-08 05:41:21,22.3082,89.7897,76.6,36,3,3.89
253,Mandurah,AU,2022-02-08 05:41:21,-32.55,115.7,80.15,57,7,13.09
254,Salinopolis,BR,2022-02-08 05:41:22,-0.6136,-47.3561,77.16,88,96,6.26
255,Kuznechnoye,RU,2022-02-08 05:41:22,61.12,29.8686,17.4,99,94,3.33
